feature,mean_signed_yes,mean_signed_no,difference
pirads,0.31573190577779414,-0.4716536902482986,0.7873855960260927
bx,0.2564308179793291,-0.4113056524408264,0.6677364704201555
age,0.15704446083015472,-0.2683528475977652,0.4253973084279199
psad,0.13436608892860616,-0.2673336010280034,0.40169968995660954
psa,0.14692607815550549,-0.20475576422450562,0.3516818423800111
