iter	MultiClass
0	1.062836417
1	1.031799583
2	1.012502503
3	0.9883576011
4	0.9615023936
5	0.9423124372
6	0.9274396708
7	0.915879905
8	0.8924143239
9	0.8751312108
10	0.8546142753
11	0.8356120257
12	0.8240226361
13	0.8108630606
14	0.7945036834
15	0.780530939
16	0.7658245027
17	0.7487146406
18	0.7395165288
19	0.7262783905
20	0.7136362111
21	0.6989411305
22	0.6901812882
23	0.682527727
24	0.6744768877
25	0.669303607
26	0.6605064934
27	0.651885051
28	0.6451760068
29	0.6350915668
30	0.6293250281
31	0.6234170493
32	0.613532499
33	0.6066980193
34	0.6022601061
35	0.595853435
36	0.5890666654
37	0.5818283041
38	0.5749354225
39	0.5686377068
40	0.5640677026
41	0.5590615933
42	0.5539693477
43	0.5491028169
44	0.5450509261
45	0.5401303207
46	0.536354955
47	0.5310248263
48	0.527337315
49	0.522967942
50	0.5202220795
51	0.5171789494
52	0.5139520953
53	0.5097992683
54	0.5073480776
55	0.5035063055
56	0.5007532775
57	0.4941774407
58	0.4897197778
59	0.4880201244
60	0.484612885
61	0.4820774145
62	0.4788514273
63	0.4750475194
64	0.4720478268
65	0.468066076
66	0.4650823042
67	0.4610042162
68	0.4584582607
69	0.4559930446
70	0.4541208777
71	0.4520305984
72	0.4498363368
73	0.4469499317
74	0.4440675388
75	0.4425378307
76	0.4381682665
77	0.4371505059
78	0.4334687395
79	0.4316177856
80	0.430594697
81	0.4280528655
82	0.4258417421
83	0.4243087707
84	0.4223226214
85	0.4195042174
86	0.4175422425
87	0.4162578068
88	0.4145781584
89	0.4134455955
90	0.4110006281
91	0.4096970127
92	0.4070616851
93	0.4049843422
94	0.4037278583
95	0.4015611761
96	0.3999340823
97	0.3982649904
98	0.3964345556
99	0.3940366003
100	0.3915357177
101	0.388394212
102	0.3856447295
103	0.3833178756
104	0.3803407865
105	0.3779492475
106	0.3762475117
107	0.3747839691
108	0.3725201002
109	0.3714783611
110	0.3695896755
111	0.3672668084
112	0.3660920727
113	0.3652148608
114	0.3626067265
115	0.3606475359
116	0.3585639317
117	0.3578482158
118	0.3564615588
119	0.3553080149
120	0.3528525933
121	0.3520768498
122	0.35098539
123	0.349191013
124	0.3470727986
125	0.3461566905
126	0.3444870622
127	0.3421741444
128	0.3417517818
129	0.3388161493
130	0.3373506996
131	0.3347082465
132	0.3335680191
133	0.3325590704
134	0.3316074253
135	0.3299659739
136	0.3284928701
137	0.3264833685
138	0.3255362938
139	0.3248867188
140	0.3234442007
141	0.3221702792
142	0.3210984269
143	0.3197943808
144	0.3191581731
145	0.317227935
146	0.3159346061
147	0.3147469592
148	0.313095851
149	0.3123637496
150	0.3117583867
151	0.3111162075
152	0.3104632154
153	0.3093498041
154	0.3069282963
155	0.3059156969
156	0.3046868503
157	0.3039570081
158	0.303539864
159	0.3029570702
160	0.3010879844
161	0.2998654285
162	0.2994606194
163	0.2979014915
164	0.2965569769
165	0.2961675893
166	0.2945017603
167	0.2941298813
168	0.2927195665
169	0.2915217392
170	0.2903603338
171	0.2892773508
172	0.2881400121
173	0.2867048434
174	0.2855937572
175	0.2847865391
176	0.2839726781
177	0.2829454
178	0.2820043005
179	0.2813909005
180	0.2809511738
181	0.2806131554
182	0.278835185
183	0.2772736801
184	0.2759301322
185	0.2750722879
186	0.2743653793
187	0.2727272287
188	0.2711523623
189	0.2692956441
190	0.2678809703
191	0.2667144854
192	0.2659499339
193	0.2648224633
194	0.2640507564
195	0.2638782136
196	0.2633394593
197	0.2627531038
198	0.2625839811
199	0.261665317
200	0.2607882974
201	0.2605493467
202	0.2600687185
203	0.2593985522
204	0.2583143703
205	0.2575975521
206	0.2562429833
207	0.2557932029
208	0.2546391301
209	0.2536691826
210	0.2530967209
211	0.2519085391
212	0.2514574512
213	0.2506496288
214	0.2505243795
215	0.250391234
216	0.2503063691
217	0.2490824145
218	0.2481853892
219	0.2480244469
220	0.2471480084
221	0.2456134415
222	0.2449565841
223	0.2446215879
224	0.2432105023
225	0.2419241213
226	0.2413431639
227	0.2403027693
228	0.2397116253
229	0.2395272707
230	0.2382611223
231	0.2378909338
232	0.2374020025
233	0.2366477188
234	0.2363277381
235	0.2353683257
236	0.2346971231
237	0.2338138554
238	0.2335183255
239	0.2326848023
240	0.2323392709
241	0.231866182
242	0.2315748341
243	0.230800812
244	0.2305142091
245	0.2301549245
246	0.2292299895
247	0.2290887741
248	0.2281535174
249	0.2280503659
250	0.2279797478
251	0.2270226941
252	0.2262116907
253	0.2253914355
254	0.2241806345
255	0.2234007327
256	0.2223289745
257	0.2212639013
258	0.2204405804
259	0.2198086471
260	0.2193045868
261	0.2183370211
262	0.2180855855
263	0.2175729544
264	0.2160474728
265	0.2157203646
266	0.2143760964
267	0.2140748834
268	0.2135037949
269	0.2126103891
270	0.2119753883
271	0.2107244184
272	0.2105799566
273	0.2098735733
274	0.209199666
275	0.2086568458
276	0.2083953818
277	0.2073826852
278	0.2069738379
279	0.2058005469
280	0.2048086078
281	0.2042660504
282	0.2039650683
283	0.2035320046
284	0.2027161163
285	0.2018651537
286	0.2011759057
287	0.2005874334
288	0.1996417196
289	0.1993919022
290	0.1988395955
291	0.1981223171
292	0.1978073884
293	0.1973021336
294	0.1966086261
295	0.1955882955
296	0.1950406238
297	0.1943863896
298	0.1932646237
299	0.192620287
