iter	Logloss
0	0.689022534
1	0.6801097678
2	0.6687734978
3	0.6632851058
4	0.6582287909
5	0.6533251454
6	0.6477718974
7	0.6431527852
8	0.6370098726
9	0.6346390337
10	0.6315605955
11	0.6266269921
12	0.6220999136
13	0.6184827828
14	0.6171542169
15	0.6136666749
16	0.6111207441
17	0.6086197079
18	0.6041416959
19	0.5970159883
20	0.5941080818
21	0.591764099
22	0.5897472076
23	0.5864750588
24	0.5803786239
25	0.5765760174
26	0.5732543517
27	0.5707180794
28	0.5684105386
29	0.5655463681
30	0.5635680344
31	0.5587246867
32	0.5560005332
33	0.5542790677
34	0.5519232832
35	0.5497814874
36	0.5484807246
37	0.5456913759
38	0.5439150268
39	0.5425236405
40	0.5402385666
41	0.5392498529
42	0.53773743
43	0.5366411552
44	0.5349928533
45	0.5334018583
46	0.5317576079
47	0.530416647
48	0.5284352058
49	0.5269313348
50	0.5232566628
51	0.5219477497
52	0.5206701756
53	0.5190244831
54	0.517849625
55	0.5161541292
56	0.5148989583
57	0.5142203243
58	0.5132809894
59	0.5124930209
60	0.5112581531
61	0.5091406727
62	0.507704774
63	0.5063482654
64	0.5060632457
65	0.505001091
66	0.5020208702
67	0.4995502136
68	0.4988760948
69	0.4983925264
70	0.4974649753
71	0.4965450715
72	0.4956811471
73	0.4942825102
74	0.4936571774
75	0.4923816233
76	0.4915652226
77	0.4909327471
78	0.4896498184
79	0.4882699153
80	0.4873242672
81	0.4853982795
82	0.4834893142
83	0.4829269974
84	0.4818324553
85	0.4814312099
86	0.480473373
87	0.4790114948
88	0.4773129894
89	0.476667249
90	0.4756407509
91	0.4742003287
92	0.4737827549
93	0.4728306614
94	0.4714538675
95	0.4698912069
96	0.4681989102
97	0.4674713693
98	0.4667980802
99	0.4661498119
100	0.4654575129
101	0.4648330179
102	0.4635862961
103	0.4624217994
104	0.4615493784
105	0.4601454523
106	0.458758653
107	0.4569951737
108	0.4563626263
109	0.4558195104
110	0.4552461154
111	0.4547239101
112	0.4538376266
113	0.4527150213
114	0.4518310583
115	0.4511123896
116	0.4506109871
117	0.4493993439
118	0.4486559335
119	0.4467335907
120	0.4457870314
121	0.4444568957
122	0.4442296877
123	0.4438877318
124	0.4432705951
125	0.4418670249
126	0.4406471759
127	0.4400627695
128	0.4391853973
129	0.438209341
130	0.4372767455
131	0.4363317718
132	0.4355601872
133	0.434652015
134	0.4337812548
135	0.43323283
136	0.432689657
137	0.431261902
138	0.4302140523
139	0.4294647648
140	0.429192383
141	0.42847829
142	0.4271298892
143	0.4263577429
144	0.4255189275
145	0.4244844522
146	0.4240507002
147	0.4232547642
148	0.4215435949
149	0.4201951811
150	0.4196707843
151	0.4185980117
152	0.4177833159
153	0.4169996895
154	0.4157583975
155	0.4145778238
156	0.4135379726
157	0.4122178946
158	0.4113246186
159	0.4101144255
160	0.4096246256
161	0.4089282767
162	0.4084318958
163	0.407391104
164	0.4060007742
165	0.4051966014
166	0.4045323313
167	0.4032940407
168	0.4025075436
169	0.401555597
170	0.4010915822
171	0.4001407819
172	0.3994545414
173	0.3990124676
174	0.3972416969
175	0.3962677113
176	0.3958667174
177	0.3954773243
178	0.3945865402
179	0.3942034473
180	0.3939872017
181	0.3924878427
182	0.3913798136
183	0.3907508556
184	0.3899330668
185	0.3895722807
186	0.3889937956
187	0.3881370564
188	0.3875056162
189	0.3871227552
190	0.3860572756
191	0.3857320172
192	0.3851895855
193	0.3842421558
194	0.383198307
195	0.3826785512
196	0.3823092343
197	0.3811400035
198	0.3797448792
199	0.3788879048
200	0.3779165647
201	0.3769116304
202	0.3763185952
203	0.3758151009
204	0.3753331034
205	0.3750347895
206	0.3745764968
207	0.3742864165
208	0.3739620529
209	0.373156786
210	0.3725275601
211	0.3717504495
212	0.3709168663
213	0.3701778503
214	0.3688560708
215	0.3685557352
216	0.3679496262
217	0.3669746314
218	0.3661250839
219	0.3655293086
220	0.3652426968
221	0.3648912123
222	0.3646204994
223	0.3643427124
224	0.364007006
225	0.3636817214
226	0.3631308209
227	0.3618137902
228	0.3611142015
229	0.3603385736
230	0.3599447126
231	0.3587052757
232	0.3574412
233	0.3567135367
234	0.3564656173
235	0.3558103646
236	0.3551283667
237	0.3548776842
238	0.3532485733
239	0.3524059629
240	0.3518072024
241	0.3512350827
242	0.3509957072
243	0.3506747501
244	0.3500456091
245	0.3497448196
246	0.3485943618
247	0.347990957
248	0.3475170756
249	0.3462736345
250	0.3460475484
251	0.3451566696
252	0.3442045891
253	0.3439732055
254	0.3433009533
255	0.3417999516
256	0.3411688445
257	0.340945626
258	0.339574644
259	0.3393575067
260	0.3391422148
261	0.3386649465
262	0.3383785307
263	0.3372445433
264	0.3370374425
265	0.3364689513
266	0.3362660898
267	0.3354567306
268	0.334028698
269	0.3338294846
270	0.3335515473
271	0.33335349
272	0.3321030565
273	0.3315625125
274	0.3313690734
275	0.3305445697
276	0.3291786566
277	0.3289883659
278	0.3285573933
279	0.3282871704
280	0.32810511
281	0.3276389788
282	0.3265919457
283	0.325844572
284	0.3249195504
285	0.3244095665
286	0.3240066261
287	0.3237420957
288	0.3231536852
289	0.3229717294
290	0.3218366643
291	0.3216634385
292	0.3203815957
293	0.3199853015
294	0.319728541
295	0.3195504293
296	0.3187176136
297	0.3185447144
298	0.3175096218
299	0.3172617024
